"222","goog","Alphabet Inc.","708.17","3/4/2016","10:16am","407882"
"223","vgz","Vista Gold Corp Common Stock","0.58","3/4/2016","10:16am","261626"
"224","aapl","Apple Inc.","101.75","3/4/2016","10:16am","8216143"
"225","msft","Microsoft Corporation","51.87","3/4/2016","10:17am","5293330"
"226","yhoo","Yahoo! Inc.","33.57","3/4/2016","10:17am","3898538"
"227","goog","Alphabet Inc.","707.89","3/4/2016","10:17am","412492"
"228","aapl","Apple Inc.","101.57","3/4/2016","10:17am","8325336"
"229","yhoo","Yahoo! Inc.","33.56","3/4/2016","10:18am","3939500"
"230","goog","Alphabet Inc.","707.76","3/4/2016","10:18am","413351"
"231","aapl","Apple Inc.","101.56","3/4/2016","10:18am","8384950"
"232","msft","Microsoft Corporation","51.86","3/4/2016","10:18am","5424109"
"233","vgz","Vista Gold Corp Common Stock","0.56","3/4/2016","10:18am","278595"
"234","msft","Microsoft Corporation","51.88","3/4/2016","10:19am","5503002"
"235","yhoo","Yahoo! Inc.","33.53","3/4/2016","10:19am","4069366"
"236","aapl","Apple Inc.","101.66","3/4/2016","10:19am","8465557"
"237","goog","Alphabet Inc.","708.03","3/4/2016","10:19am","418312"
"238","msft","Microsoft Corporation","51.85","3/4/2016","10:20am","5569591"
"239","yhoo","Yahoo! Inc.","33.51","3/4/2016","10:20am","4125016"
"240","aapl","Apple Inc.","101.68","3/4/2016","10:20am","8584709"
"241","goog","Alphabet Inc.","707.88","3/4/2016","10:20am","422960"
"242","msft","Microsoft Corporation","51.79","3/4/2016","10:21am","5648893"
"243","yhoo","Yahoo! Inc.","33.52","3/4/2016","10:21am","4160759"
"244","vgz","Vista Gold Corp Common Stock","0.57","3/4/2016","10:20am","282295"
"245","aapl","Apple Inc.","101.67","3/4/2016","10:21am","8651258"
"246","goog","Alphabet Inc.","707.42","3/4/2016","10:21am","426415"
"247","msft","Microsoft Corporation","51.81","3/4/2016","10:22am","5680145"
"248","yhoo","Yahoo! Inc.","33.52","3/4/2016","10:22am","4219191"
"249","vgz","Vista Gold Corp Common Stock","0.57","3/4/2016","10:22am","282912"
"250","aapl","Apple Inc.","101.80","3/4/2016","10:22am","8741627"
"251","goog","Alphabet Inc.","706.98","3/4/2016","10:22am","433714"
"252","msft","Microsoft Corporation","51.83","3/4/2016","10:23am","5733154"
"253","yhoo","Yahoo! Inc.","33.53","3/4/2016","10:23am","4331949"
"254","aapl","Apple Inc.","101.70","3/4/2016","10:23am","8806550"
"255","goog","Alphabet Inc.","706.87","3/4/2016","10:23am","437362"
"256","msft","Microsoft Corporation","51.80","3/4/2016","10:24am","5775102"
"257","yhoo","Yahoo! Inc.","33.52","3/4/2016","10:24am","4392355"
"258","aapl","Apple Inc.","101.64","3/4/2016","10:24am","8873567"
"259","goog","Alphabet Inc.","707.03","3/4/2016","10:24am","438129"
"260","msft","Microsoft Corporation","51.76","3/4/2016","10:25am","5846753"
"261","yhoo","Yahoo! Inc.","33.52","3/4/2016","10:25am","4427502"
"262","goog","Alphabet Inc.","706.72","3/4/2016","10:25am","441419"
"263","aapl","Apple Inc.","101.66","3/4/2016","10:25am","8935241"
"264","msft","Microsoft Corporation","51.79","3/4/2016","10:26am","5907972"
"265","yhoo","Yahoo! Inc.","33.54","3/4/2016","10:26am","4517203"
"266","goog","Alphabet Inc.","707.31","3/4/2016","10:26am","446335"
"267","aapl","Apple Inc.","101.75","3/4/2016","10:26am","8968941"
"268","msft","Microsoft Corporation","51.81","3/4/2016","10:27am","5986435"
"269","yhoo","Yahoo! Inc.","33.51","3/4/2016","10:27am","4605239"
"270","goog","Alphabet Inc.","707.82","3/4/2016","10:27am","449740"
"271","aapl","Apple Inc.","101.77","3/4/2016","10:27am","9047472"
"272","msft","Microsoft Corporation","51.84","3/4/2016","10:28am","6050988"
"273","yhoo","Yahoo! Inc.","33.52","3/4/2016","10:28am","4656849"
"274","goog","Alphabet Inc.","708.31","3/4/2016","10:28am","456685"
"275","aapl","Apple Inc.","101.97","3/4/2016","10:28am","9200035"
"276","msft","Microsoft Corporation","51.83","3/4/2016","10:29am","6147876"
"277","yhoo","Yahoo! Inc.","33.51","3/4/2016","10:29am","4673050"
"278","goog","Alphabet Inc.","708.16","3/4/2016","10:29am","466392"
"279","aapl","Apple Inc.","102.00","3/4/2016","10:29am","9297924"
"280","msft","Microsoft Corporation","51.87","3/4/2016","10:30am","6183427"
"281","yhoo","Yahoo! Inc.","33.49","3/4/2016","10:30am","4743519"
"282","goog","Alphabet Inc.","708.30","3/4/2016","10:30am","474993"
"283","aapl","Apple Inc.","102.00","3/4/2016","10:30am","9406294"
"284","msft","Microsoft Corporation","51.81","3/4/2016","10:31am","6276926"
"285","yhoo","Yahoo! Inc.","33.49","3/4/2016","10:31am","4762337"
"286","goog","Alphabet Inc.","708.81","3/4/2016","10:31am","483074"
"287","aapl","Apple Inc.","101.94","3/4/2016","10:31am","9474827"
"288","msft","Microsoft Corporation","51.85","3/4/2016","10:32am","6314411"
"289","yhoo","Yahoo! Inc.","33.44","3/4/2016","10:32am","4786566"
"290","aapl","Apple Inc.","101.95","3/4/2016","10:32am","9545176"
"291","goog","Alphabet Inc.","708.28","3/4/2016","10:32am","487336"
"292","vgz","Vista Gold Corp Common Stock","0.57","3/4/2016","10:32am","292212"
"293","msft","Microsoft Corporation","51.81","3/4/2016","10:33am","6423203"
"294","yhoo","Yahoo! Inc.","33.44","3/4/2016","10:33am","4801937"
"295","aapl","Apple Inc.","101.90","3/4/2016","10:33am","9652538"
"296","vgz","Vista Gold Corp Common Stock","0.57","3/4/2016","10:33am","294062"
"297","msft","Microsoft Corporation","51.80","3/4/2016","10:34am","6510839"
"298","yhoo","Yahoo! Inc.","33.44","3/4/2016","10:34am","4808554"
"299","goog","Alphabet Inc.","708.25","3/4/2016","10:33am","493075"
"300","vgz","Vista Gold Corp Common Stock","0.56","3/4/2016","10:34am","295062"
"301","aapl","Apple Inc.","101.91","3/4/2016","10:34am","9718812"
"302","goog","Alphabet Inc.","707.93","3/4/2016","10:34am","493719"
"303","msft","Microsoft Corporation","51.84","3/4/2016","10:35am","6580950"
"304","yhoo","Yahoo! Inc.","33.47","3/4/2016","10:35am","4823994"
"305","aapl","Apple Inc.","101.91","3/4/2016","10:35am","9752071"
"306","goog","Alphabet Inc.","708.18","3/4/2016","10:35am","497583"
"307","vgz","Vista Gold Corp Common Stock","0.56","3/4/2016","10:35am","302596"
"308","msft","Microsoft Corporation","51.87","3/4/2016","10:36am","6663688"
"309","yhoo","Yahoo! Inc.","33.53","3/4/2016","10:36am","4850466"
"310","aapl","Apple Inc.","102.03","3/4/2016","10:36am","9835954"
"311","goog","Alphabet Inc.","708.66","3/4/2016","10:36am","504896"
"312","msft","Microsoft Corporation","51.87","3/4/2016","10:37am","6737570"
"313","yhoo","Yahoo! Inc.","33.53","3/4/2016","10:37am","4931690"
"314","goog","Alphabet Inc.","708.88","3/4/2016","10:37am","510891"
"315","vgz","Vista Gold Corp Common Stock","0.56","3/4/2016","10:37am","310863"
"316","aapl","Apple Inc.","102.10","3/4/2016","10:37am","9983843"
"317","msft","Microsoft Corporation","51.89","3/4/2016","10:38am","6817531"
"318","yhoo","Yahoo! Inc.","33.51","3/4/2016","10:38am","4989961"
"319","aapl","Apple Inc.","102.10","3/4/2016","10:38am","10161952"
"320","goog","Alphabet Inc.","708.40","3/4/2016","10:38am","515023"
"321","vgz","Vista Gold Corp Common Stock","0.56","3/4/2016","10:38am","312763"
"322","msft","Microsoft Corporation","51.88","3/4/2016","10:39am","6901755"
"323","yhoo","Yahoo! Inc.","33.50","3/4/2016","10:39am","5028210"
"324","aapl","Apple Inc.","102.13","3/4/2016","10:39am","10234567"
"325","goog","Alphabet Inc.","708.30","3/4/2016","10:39am","521145"
"326","vgz","Vista Gold Corp Common Stock","0.56","3/4/2016","10:39am","313163"
"327","msft","Microsoft Corporation","51.87","3/4/2016","10:40am","7062560"
"328","yhoo","Yahoo! Inc.","33.50","3/4/2016","10:40am","5063178"
"329","aapl","Apple Inc.","102.29","3/4/2016","10:40am","10505821"
"330","goog","Alphabet Inc.","708.25","3/4/2016","10:40am","526298"
"331","msft","Microsoft Corporation","51.95","3/4/2016","10:41am","7285002"
"332","yhoo","Yahoo! Inc.","33.51","3/4/2016","10:41am","5122891"
"333","aapl","Apple Inc.","102.31","3/4/2016","10:41am","10668229"
"334","goog","Alphabet Inc.","708.00","3/4/2016","10:41am","528178"
"335","msft","Microsoft Corporation","52.00","3/4/2016","10:42am","7477555"
"336","yhoo","Yahoo! Inc.","33.52","3/4/2016","10:42am","5191394"
"337","aapl","Apple Inc.","102.28","3/4/2016","10:42am","10751679"
"338","goog","Alphabet Inc.","707.00","3/4/2016","10:42am","541145"
"339","msft","Microsoft Corporation","51.98","3/4/2016","10:43am","7552324"
"340","yhoo","Yahoo! Inc.","33.52","3/4/2016","10:43am","5266737"
"341","aapl","Apple Inc.","102.18","3/4/2016","10:43am","10837237"
"342","goog","Alphabet Inc.","707.45","3/4/2016","10:43am","542571"
"343","msft","Microsoft Corporation","52.01","3/4/2016","10:44am","7617769"
"344","yhoo","Yahoo! Inc.","33.54","3/4/2016","10:44am","5290050"
"345","aapl","Apple Inc.","102.34","3/4/2016","10:44am","10902362"
"346","goog","Alphabet Inc.","707.39","3/4/2016","10:44am","545448"
"347","msft","Microsoft Corporation","52.06","3/4/2016","10:45am","7665146"
"348","yhoo","Yahoo! Inc.","33.60","3/4/2016","10:45am","5362713"
"349","goog","Alphabet Inc.","707.40","3/4/2016","10:45am","548010"
"350","aapl","Apple Inc.","102.36","3/4/2016","10:45am","11041974"
"351","vgz","Vista Gold Corp Common Stock","0.56","3/4/2016","10:45am","313363"
"352","msft","Microsoft Corporation","52.10","3/4/2016","10:46am","7752757"
"353","yhoo","Yahoo! Inc.","33.61","3/4/2016","10:46am","5399483"
"354","goog","Alphabet Inc.","707.37","3/4/2016","10:46am","558118"
"355","aapl","Apple Inc.","102.60","3/4/2016","10:46am","11412041"
"356","vgz","Vista Gold Corp Common Stock","0.57","3/4/2016","10:46am","315263"
"357","msft","Microsoft Corporation","52.11","3/4/2016","10:47am","7843060"
"358","yhoo","Yahoo! Inc.","33.58","3/4/2016","10:47am","5442356"
"359","goog","Alphabet Inc.","707.52","3/4/2016","10:47am","563935"
"360","aapl","Apple Inc.","102.56","3/4/2016","10:47am","11612261"
"361","vgz","Vista Gold Corp Common Stock","0.56","3/4/2016","10:47am","368727"
"362","msft","Microsoft Corporation","52.12","3/4/2016","10:48am","7948538"
"363","yhoo","Yahoo! Inc.","33.57","3/4/2016","10:48am","5493195"
"364","goog","Alphabet Inc.","707.80","3/4/2016","10:48am","569254"
"365","aapl","Apple Inc.","102.59","3/4/2016","10:48am","11801414"
"366","msft","Microsoft Corporation","52.13","3/4/2016","10:49am","7977805"
"367","yhoo","Yahoo! Inc.","33.55","3/4/2016","10:49am","5524515"
"368","goog","Alphabet Inc.","707.95","3/4/2016","10:49am","573921"
"369","aapl","Apple Inc.","102.61","3/4/2016","10:49am","12010489"
"370","msft","Microsoft Corporation","52.12","3/4/2016","10:50am","8065581"
